skill,num_postings,pct_postings,num_occurence,pct_occurence
writing sql,3,0.0051,10,0.0012
data warehouse,3,0.0051,16,0.0019
coding,3,0.0051,7,8e-4
bricks,3,0.0051,35,0.0042
sql python,3,0.0051,7,8e-4
deal,3,0.0051,12,0.0015
interest,3,0.0051,2,2e-4
strong communication,3,0.0051,4,5e-4
physical,3,0.0051,13,0.0016
sciences,3,0.0051,11,0.0013
required ph,3,0.0051,3,4e-4
actionable insights,3,0.0051,3,4e-4
large complex,3,0.0051,8,0.001
define,3,0.0051,14,0.0017
understandable,3,0.0051,7,8e-4
desirable,3,0.0051,2,2e-4
cleaning,3,0.0051,26,0.0031
apis,3,0.0051,24,0.0029
platforms,3,0.0051,17,0.0021
research projects,3,0.0051,3,4e-4
collaboratively,3,0.0051,5,6e-4
lits,3,0.0051,7,8e-4
quantitative research,3,0.0051,5,6e-4
statistical software,3,0.0051,2,2e-4
analysis tools,3,0.0051,6,7e-4
faculty,3,0.0051,1,1e-4
diverse,3,0.0051,6,7e-4
data engineer,3,0.0051,18,0.0022
model performance,3,0.0051,9,0.0011
